6/22/2016,14,40,42,43,52,PB:17,PP:3,
6/18/2016,2,23,41,53,63,PB:11,PP:2,
6/15/2016,4,22,24,31,33,PB:10,PP:2,
6/11/2016,20,27,36,41,58,PB:7,PP:2,
6/8/2016,12,25,37,60,69,PB:20,PP:3,
6/4/2016,16,20,22,43,64,PB:17,PP:2,
6/1/2016,23,30,33,40,69,PB:12,PP:5,
5/28/2016,6,33,34,58,59,PB:12,PP:2,
5/25/2016,11,24,41,59,64,PB:15,PP:3,
5/21/2016,5,7,9,23,32,PB:26,PP:4,
5/18/2016,23,25,39,54,67,PB:11,PP:3,
5/14/2016,13,27,47,64,65,PB:9,PP:3,
5/11/2016,20,32,52,66,69,PB:23,PP:3,
5/7/2016,5,25,26,44,66,PB:9,PP:2,
5/4/2016,30,47,57,66,69,PB:3,PP:3,
4/30/2016,3,12,16,32,34,PB:14,PP:3,
4/27/2016,2,25,33,39,64,PB:17,PP:2,
4/23/2016,19,35,46,59,62,PB:13,PP:5,
4/20/2016,12,25,30,52,62,PB:8,PP:3,
4/16/2016,3,18,25,32,51,PB:3,PP:2,
4/13/2016,30,33,35,38,64,PB:22,PP:3,
4/9/2016,14,22,23,41,61,PB:9,PP:3,
4/6/2016,4,28,49,60,65,PB:25,PP:2,
4/2/2016,9,28,30,40,61,PB:3,PP:2,
3/30/2016,24,44,53,55,63,PB:19,PP:2,
3/26/2016,11,23,42,52,68,PB:6,PP:3,
3/23/2016,5,8,15,22,49,PB:25,PP:3,
3/19/2016,11,23,43,54,60,PB:3,PP:3,
3/16/2016,10,12,13,46,50,PB:21,PP:3,
3/12/2016,11,28,50,57,62,PB:23,PP:2,
3/9/2016,14,23,32,34,68,PB:3,PP:3,
3/5/2016,3,27,34,59,69,PB:19,PP:2,
3/2/2016,12,13,44,52,62,PB:6,PP:2,
2/27/2016,10,11,21,22,53,PB:18,PP:3,
2/24/2016,21,31,64,65,67,PB:5,PP:3,
2/20/2016,11,12,15,16,54,PB:25,PP:5,
2/17/2016,7,17,27,29,40,PB:25,PP:2,
2/13/2016,7,15,18,19,36,PB:20,PP:2,
2/10/2016,2,3,40,50,62,PB:5,PP:2,
2/6/2016,4,13,31,36,52,PB:8,PP:3,
2/3/2016,26,28,31,60,67,PB:23,PP:3,
1/30/2016,5,12,16,31,43,PB:18,PP:4,
1/27/2016,3,12,40,52,67,PB:21,PP:2,
1/23/2016,22,32,34,40,69,PB:19,PP:4,
1/20/2016,5,39,44,47,69,PB:24,PP:5,
1/16/2016,3,51,52,61,64,PB:6,PP:2,
1/13/2016,4,8,19,27,34,PB:10,PP:2,
1/9/2016,16,19,32,34,57,PB:13,PP:3,
1/6/2016,2,11,47,62,63,PB:17,PP:3,
1/2/2016,5,6,15,29,42,PB:10,PP:2,
12/30/2015,12,36,38,54,61,PB:22,PP:3,
12/26/2015,27,40,44,59,65,PB:20,PP:2,
12/23/2015,16,38,55,63,67,PB:25,PP:4,
12/19/2015,28,30,41,59,68,PB:10,PP:2,
12/16/2015,9,10,32,42,55,PB:6,PP:2,
12/12/2015,2,14,19,30,62,PB:22,PP:2,
12/9/2015,7,10,16,46,56,PB:1,PP:2,
12/5/2015,13,27,33,47,68,PB:13,PP:2,
12/2/2015,14,18,19,32,64,PB:9,PP:2,
11/28/2015,2,6,47,66,67,PB:2,PP:3,
11/25/2015,16,29,53,58,69,PB:21,PP:2,
11/21/2015,37,47,50,52,57,PB:21,PP:3,
11/18/2015,17,40,41,46,69,PB:6,PP:2,
11/14/2015,14,22,37,45,66,PB:5,PP:3,
11/11/2015,4,26,32,55,64,PB:18,PP:3,
11/7/2015,7,16,25,50,53,PB:15,PP:2,
11/4/2015,2,12,17,20,65,PB:17,PP:4,
10/31/2015,9,20,25,47,68,PB:7,PP:2,
10/28/2015,4,54,56,62,63,PB:10,PP:2,
10/24/2015,20,31,56,60,64,PB:2,PP:3,
10/21/2015,30,32,42,56,57,PB:11,PP:4,
10/17/2015,48,49,57,62,69,PB:19,PP:3,
10/14/2015,15,20,29,31,40,PB:1,PP:2,
10/10/2015,12,27,29,43,68,PB:1,PP:2,
10/7/2015,18,30,40,48,52,PB:9,PP:3,
10/3/2015,6,26,33,44,46,PB:4,PP:2,
9/30/2015,21,39,40,55,59,PB:17,PP:3,
9/26/2015,23,31,42,50,57,PB:5,PP:3,
9/23/2015,8,29,41,51,58,PB:5,PP:2,
9/19/2015,12,17,26,43,48,PB:24,PP:2,
9/16/2015,5,7,24,31,39,PB:7,PP:3,
9/12/2015,2,3,13,16,35,PB:27,PP:3,
9/9/2015,44,45,47,50,51,PB:8,PP:2,
9/5/2015,10,16,18,29,45,PB:19,PP:2,
9/2/2015,17,22,30,46,56,PB:16,PP:3,
8/29/2015,18,21,25,28,29,PB:16,PP:2,
8/26/2015,2,22,32,45,56,PB:12,PP:5,
8/22/2015,4,12,14,21,55,PB:7,PP:4,
8/19/2015,6,8,43,48,50,PB:7,PP:2,
8/15/2015,3,13,17,42,52,PB:24,PP:4,
8/12/2015,8,13,29,38,52,PB:28,PP:2,
8/8/2015,9,34,48,52,54,PB:15,PP:4,
8/5/2015,9,11,14,16,42,PB:19,PP:2,
8/1/2015,7,13,24,49,57,PB:15,PP:3,
7/29/2015,4,22,27,28,52,PB:35,PP:3,
7/25/2015,27,29,34,41,44,PB:2,PP:3,
7/22/2015,12,31,43,44,57,PB:11,PP:2,
7/18/2015,6,37,39,45,55,PB:33,PP:3,
7/15/2015,13,16,34,45,50,PB:11,PP:2,
7/11/2015,11,39,46,52,54,PB:3,PP:2,
7/8/2015,4,15,25,27,30,PB:18,PP:3,
7/4/2015,3,6,14,18,24,PB:21,PP:3,
7/1/2015,7,24,26,31,41,PB:25,PP:2,
6/27/2015,18,28,35,46,49,PB:27,PP:5,
6/24/2015,3,5,10,22,32,PB:7,PP:4,
6/20/2015,9,10,16,20,57,PB:15,PP:2,
6/17/2015,20,21,22,41,54,PB:7,PP:3,
6/13/2015,29,41,48,52,54,PB:29,PP:2,
6/10/2015,31,32,48,49,53,PB:25,PP:2,
6/6/2015,8,13,18,27,43,PB:15,PP:4,
6/3/2015,6,8,13,37,40,PB:11,PP:2,
5/30/2015,8,9,25,56,57,PB:22,PP:2,
5/27/2015,8,15,34,53,59,PB:23,PP:2,
5/23/2015,9,15,17,31,43,PB:16,PP:4,
5/20/2015,1,12,28,35,44,PB:25,PP:3,
5/16/2015,24,29,38,48,52,PB:32,PP:2,
5/13/2015,1,25,29,31,47,PB:7,PP:3,
5/9/2015,4,15,17,35,58,PB:17,PP:3,
5/6/2015,23,24,27,39,41,PB:30,PP:5,
5/2/2015,2,6,11,30,31,PB:33,PP:3,
4/29/2015,1,26,34,38,51,PB:6,PP:3,
4/25/2015,21,33,35,38,45,PB:12,PP:2,
4/22/2015,10,14,25,39,53,PB:18,PP:2,
4/18/2015,13,22,23,29,31,PB:17,PP:3,
4/15/2015,1,16,21,29,40,PB:30,PP:3,
4/11/2015,1,12,32,42,58,PB:12,PP:2,
4/8/2015,1,19,45,46,58,PB:29,PP:2,
4/4/2015,33,39,40,41,54,PB:28,PP:3,
4/1/2015,2,30,33,39,44,PB:1,PP:3,
3/28/2015,2,4,6,12,38,PB:17,PP:3,
3/25/2015,7,19,23,50,54,PB:14,PP:2,
3/21/2015,11,16,30,38,42,PB:7,PP:4,
3/18/2015,14,25,30,33,47,PB:8,PP:2,
3/14/2015,8,14,39,46,47,PB:18,PP:2,
3/11/2015,11,24,31,40,44,PB:27,PP:2,
3/7/2015,34,36,38,42,50,PB:33,PP:4,
3/4/2015,8,12,15,35,50,PB:32,PP:2,
2/28/2015,11,17,25,28,46,PB:12,PP:2,
2/25/2015,17,19,21,32,39,PB:8,PP:3,
2/21/2015,10,14,18,34,51,PB:26,PP:2,
2/18/2015,1,9,29,32,49,PB:22,PP:2,
2/14/2015,1,24,44,45,51,PB:28,PP:2,
2/11/2015,11,13,25,39,54,PB:19,PP:3,
2/7/2015,5,10,21,34,58,PB:33,PP:5,
2/4/2015,24,36,51,52,56,PB:22,PP:2,
1/31/2015,5,11,16,26,50,PB:34,PP:2,
1/28/2015,12,24,35,36,49,PB:1,PP:5,
1/24/2015,16,19,20,29,33,PB:10,PP:2,
1/21/2015,11,12,15,28,57,PB:23,PP:4,
1/17/2015,15,16,23,27,36,PB:9,PP:2,
1/14/2015,2,4,10,41,53,PB:22,PP:5,
1/10/2015,2,9,19,28,29,PB:19,PP:5,
1/7/2015,14,15,47,49,59,PB:10,PP:2,
1/3/2015,4,18,43,46,55,PB:25,PP:3,
